date,station_number,month,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,snow,max_temperature_explicit_enc,day_of_year,day_of_week
2007-07-31,725320,7,76.5,62.29999923706055,1017.7999877929688,8.899999618530273,3.0,8.0,61.0,0.0,0,0.0,212,1
2007-07-31,725326,7,74.4000015258789,62.79999923706055,,7.900000095367432,1.7999999523162842,5.099999904632568,60.79999923706055,1.409999966621399,0,1.0,212,1
2007-07-31,725305,7,77.19999694824219,64.0,1017.7999877929688,9.699999809265137,2.5,6.0,63.0,0.0,0,0.0,212,1
2007-07-31,725330,7,76.0999984741211,59.400001525878906,1017.4000244140624,9.699999809265137,1.7999999523162842,6.0,60.79999923706055,0.0,0,1.0,212,1
2007-07-31,725300,7,81.0999984741211,58.900001525878906,1017.5999755859376,9.899999618530272,4.199999809265137,8.0,69.80000305175781,0.0,0,1.0,212,1
2007-07-31,725327,7,75.5,61.20000076293945,1018.2999877929688,10.0,2.0,6.0,62.09999847412109,0.0,0,0.0,212,1
2007-07-31,725315,7,76.4000015258789,62.09999847412109,1017.5,10.0,4.5,6.0,66.19999694824219,0.0,0,1.0,212,1
2007-08-01,725326,8,76.0,66.80000305175781,,6.5,1.100000023841858,6.0,62.59999847412109,0.0,0,0.0,213,2
2007-08-01,725315,8,78.5,66.69999694824219,1016.2999877929688,8.699999809265137,3.5,6.0,66.9000015258789,0.0,0,0.0,213,2
2007-08-01,725317,8,77.69999694824219,65.30000305175781,1015.5999755859376,8.300000190734863,2.400000095367432,7.0,64.4000015258789,0.0,0,1.0,213,2
2007-08-01,725327,8,76.5,64.30000305175781,1017.2000122070312,8.699999809265137,1.2000000476837158,6.0,62.59999847412109,0.0,0,1.0,213,2
2007-08-01,725305,8,78.69999694824219,65.9000015258789,1016.5,8.0,1.600000023841858,6.0,66.0,0.0,0,0.0,213,2
2007-08-01,725314,8,76.9000015258789,63.70000076293945,1015.5,8.899999618530273,1.5,8.0,62.09999847412109,0.0,0,0.0,213,2
2007-08-01,725330,8,78.69999694824219,64.0,1016.7000122070312,9.0,1.5,5.099999904632568,64.0,0.0,0,0.0,213,2
2007-08-01,725316,8,79.5,66.0999984741211,1016.0999755859376,8.699999809265137,3.0999999046325684,7.0,66.0,0.0,0,0.0,213,2
2007-08-01,725320,8,79.9000015258789,65.80000305175781,1016.0999755859376,8.699999809265137,1.7999999523162842,7.0,66.0,0.0,0,0.0,213,2
2007-08-01,725300,8,81.5999984741211,61.900001525878906,1016.4000244140624,9.600000381469728,3.200000047683716,12.0,69.0999984741211,0.0,0,0.0,213,2
2007-08-02,725314,8,79.0,66.30000305175781,1015.2999877929688,5.900000095367432,1.399999976158142,7.0,64.9000015258789,0.0,0,0.0,214,3
